N,Noise,MSE,PSNR
49,gaussian,0.0025903978238016757,25.55000678900303
51,gaussian,0.0025911136634675378,25.54880681011829
44,gaussian,0.0025925399704287543,25.546416846196554
45,gaussian,0.0025953979790533906,25.541631833297167
170,speckle,0.0025992849186020706,25.535132584947327
48,localvar,0.002599364785167148,25.53499914410988
54,gaussian,0.002602838791490587,25.529198748264506
39,localvar,0.002602948187064669,25.529016221033288
42,localvar,0.0026110613311623966,25.51550072381781
39,localvar,0.002611905022750904,25.514097649091013
52,localvar,0.0026130351912833963,25.512218867919053
40,gaussian,0.002613080840064676,25.51214299890391
46,localvar,0.002613982148666427,25.510645280751454
40,localvar,0.0026140051356903556,25.51060708961937
51,localvar,0.0026158410744482282,25.507557905867596
50,gaussian,0.002619511625537713,25.501468152468917
60,localvar,0.002621671616650945,25.497888532252645
47,localvar,0.0026235047179952037,25.494852959069974
54,localvar,0.002625165466618863,25.492104628686146
174,speckle,0.002626966873522218,25.48912549161266
59,gaussian,0.0026274316875944705,25.488357121323013
175,speckle,0.002629052231135641,25.485679311780384
60,gaussian,0.0026297763857873737,25.484483241726807
45,localvar,0.002630705427854212,25.4829492459387
48,gaussian,0.0026363080277810175,25.473709933486873
53,gaussian,0.0026375146194280025,25.471722699033258
53,localvar,0.0026411683203159684,25.465710660023966
44,localvar,0.002642096423720826,25.464184822455568
55,localvar,0.002643261708751377,25.462269807979247
183,speckle,0.0026454616913370423,25.458656685189233
35,localvar,0.002645958691071498,25.457840857954892
39,gaussian,0.0026484454402745682,25.45376114847523
192,speckle,0.0026500698116125273,25.451098306161107
61,gaussian,0.0026502121345009745,25.450865073115224
57,localvar,0.002651648557510884,25.448511821536638
41,gaussian,0.0026516512782731073,25.44850736539779
34,localvar,0.0026568406470912375,25.440016385315833
38,gaussian,0.002657232597692004,25.43937573933465
50,localvar,0.002658114612865894,25.43793442492444
66,gaussian,0.002658213454286723,25.437772936456792
46,gaussian,0.0026583373641128573,25.437570499367062
58,localvar,0.002659305350225293,25.43598938136265
184,speckle,0.0026624760000404646,25.43081443789514
43,gaussian,0.0026628290701662164,25.430238559497408
43,localvar,0.002663011466615182,25.429941089940108
54,gaussian,0.002667597325872133,25.422468720689476
37,localvar,0.002669021775647754,25.42015028394058
36,gaussian,0.002670491502220535,25.41775945120595
60,localvar,0.0026720767018760293,25.415182250664937
37,gaussian,0.00267347240757227,25.412914392738273
33,localvar,0.002673667570583295,25.41259737010882
55,gaussian,0.002676668468707854,25.407725625144227
49,gaussian,0.002676729742204025,25.40762620888477
62,localvar,0.002677045860372901,25.407113343248543
57,localvar,0.0026773264534012157,25.406658163829455
32,localvar,0.00267735398663037,25.406613501857088
68,localvar,0.002677459585008611,25.406442213753927
61,localvar,0.002677849278669371,25.40581016129493
73,localvar,0.0026780638413620764,25.405462196750225
36,localvar,0.002678567711281253,25.40464516117856
47,gaussian,0.002679770401033961,25.40269559576904
173,speckle,0.002682529340969357,25.398226645679635
22,speckle,0.0026858079710906863,25.392921870423685
40,localvar,0.0026862055833603454,25.392278979957325
38,localvar,0.002686432709450458,25.391911787519213
49,localvar,0.002686984951812356,25.391019112404756
64,gaussian,0.002687919303458801,25.38950919241726
38,localvar,0.0026882361323562285,25.388997313459658
61,gaussian,0.002690147211316166,25.385910991683474
36,localvar,0.0026917942295587687,25.38325287670937
37,localvar,0.00269319146208645,25.380999164536036
47,gaussian,0.0026951639639240443,25.377819542428178
182,speckle,0.002695315216112562,25.37757582386932
56,localvar,0.0026954736287659216,25.377320582036567
48,gaussian,0.002695605558230469,25.37710802259725
74,localvar,0.002696814124658925,25.375161313065924
34,gaussian,0.002697419319325098,25.37418681795803
31,localvar,0.0027001823811852316,25.369740463112258
57,gaussian,0.002701519190869921,25.36759088460066
56,gaussian,0.002701710713462843,25.367283005029467
58,gaussian,0.0027029765974846925,25.3652485988785
42,localvar,0.0027055452272770055,25.36112347240266
58,localvar,0.0027056902342872317,25.360890713193264
33,gaussian,0.0027058150045710487,25.360690447117985
30,localvar,0.002708650833747604,25.356141207682782
29,localvar,0.00271056183551656,25.35307826253478
67,localvar,0.0027122930815152166,25.350305292868136
76,localvar,0.0027129429164408176,25.349264896749727
65,localvar,0.002714340536681045,25.347028128477763
59,localvar,0.0027147081694551944,25.346439955874914
43,gaussian,0.0027164542950674324,25.343647431257263
62,gaussian,0.002717242356222146,25.342387697285133
32,gaussian,0.00271848484316318,25.34040229510459
22,speckle,0.0027185174517351113,25.34035020124078
35,localvar,0.0027195127557619447,25.338760452618565
35,gaussian,0.0027210554857695296,25.33629747773222
53,gaussian,0.0027213471349346427,25.335832015575118
50,gaussian,0.002723160406177625,25.33293921501165
41,gaussian,0.0027254987294649488,25.32921161547696
34,localvar,0.0027259462564305868,25.328498562359414
25,localvar,0.002726196308585496,25.32810020054167
63,localvar,0.002727004293932336,25.326813236772182
21,speckle,0.0027290237109662647,25.32359836429074
61,localvar,0.0027332676623136693,25.316849822711536
32,localvar,0.002734497898318939,25.314895515374765
24,localvar,0.002735028829267966,25.314052369729293
42,gaussian,0.0027370397876535376,25.31086034773306
46,gaussian,0.0027378285411789435,25.30960898866664
26,localvar,0.002739199464651167,25.307434873395003
33,localvar,0.002739585405635453,25.306823014948066
72,localvar,0.002740101533143242,25.30600489766597
178,speckle,0.0027404977178264304,25.30537700712282
77,gaussian,0.0027410961148878685,25.304428813766172
40,gaussian,0.0027415064340498806,25.30377875990353
69,gaussian,0.0027418200105929075,25.30328203747121
57,gaussian,0.002743668622564875,25.300354888906377
78,gaussian,0.0027446556781435347,25.298792762573168
44,gaussian,0.002744878028161685,25.298440946221717
27,localvar,0.0027457800548788113,25.29701399439417
64,localvar,0.002746234855366699,25.296294705222756
39,gaussian,0.0027470611317321324,25.29498821356608
65,localvar,0.0027476811880789457,25.294008050947486
69,localvar,0.0027499130493629717,25.290481835474274
28,localvar,0.0027517747237970716,25.28754268298862
30,gaussian,0.0027550660676261564,25.282351275837527
55,gaussian,0.002755640920272497,25.28144520213894
21,speckle,0.002758043082884523,25.27766099530936
60,gaussian,0.002759662591679723,25.275111588745002
65,gaussian,0.0027640202777852885,25.268259206134132
31,gaussian,0.0027693980599545857,25.259817618262815
29,gaussian,0.0027702608479581764,25.258464812690235
79,gaussian,0.002770646523953116,25.257860229558148
68,localvar,0.0027721988747849875,25.255427625473466
67,gaussian,0.002772479116593423,25.254988619019727
52,gaussian,0.002773257335098786,25.25376975112813
64,gaussian,0.0027758360014558865,25.249733413722176
64,localvar,0.002775869221412054,25.249681439623867
31,localvar,0.0027771140045651714,25.247734369223615
51,gaussian,0.0027772362767665535,25.24754316002841
20,speckle,0.0027772611035758376,25.24750433690712
20,speckle,0.0027786045109587246,25.245404090194235
190,speckle,0.002780635400198651,25.24223098004397
24,localvar,0.002780895072156373,25.241825429453225
185,speckle,0.002785525377864712,25.234600259523923
188,speckle,0.002786568898932596,25.23297359843631
78,localvar,0.002786839866979791,25.232551307760332
68,gaussian,0.0027872713298724176,25.231878978317415
189,speckle,0.0027882536182955325,25.23034871004608
23,localvar,0.0027896315071431065,25.228203059779382
37,gaussian,0.0027908738613896733,25.22626937253375
187,speckle,0.002791158917093077,25.22582581326406
45,gaussian,0.0027912491435921763,25.225685426283178
181,speckle,0.0027913087088174207,25.225592748878583
26,localvar,0.0027919270130381756,25.224630847480594
25,localvar,0.0027924726137014497,25.2237822285637
29,localvar,0.0027933107832604576,25.222478875421483
35,gaussian,0.002793871469881943,25.221607226366295
27,gaussian,0.0027939296228554405,25.221516831181937
38,gaussian,0.0027939457473855484,25.22149176693485
30,localvar,0.0027950230446014378,25.219817525193882
65,gaussian,0.002795751525010097,25.218685749911206
71,localvar,0.002796729456050217,25.217166888925632
27,localvar,0.0028005046066565576,25.21130854065243
79,localvar,0.002801203720124452,25.21022451019174
28,gaussian,0.0028012920139016385,25.210087622982744
36,gaussian,0.0028016715923541535,25.209499188578334
71,localvar,0.002801783309347514,25.209326016581382
71,gaussian,0.0028018786834659833,25.20917818306314
72,gaussian,0.0028035483440248003,25.206590960411827
63,gaussian,0.002803743265239098,25.206289020674397
69,localvar,0.002803833286279013,25.206149582039778
70,gaussian,0.002804731196393296,25.20475900371117
28,localvar,0.0028055163345289337,25.203543438229662
66,localvar,0.0028055583597869993,25.203478383534534
76,gaussian,0.0028080558693679234,25.199614011467688
71,gaussian,0.002809648869961231,25.197150972137614
33,gaussian,0.0028129515337065375,25.192048959893615
67,localvar,0.002814196968790505,25.19012654539495
25,gaussian,0.0028153129246082853,25.18840471358637
26,gaussian,0.002818685480375879,25.183205271096547
58,gaussian,0.0028213684746978863,25.179073361273694
32,gaussian,0.0028220031176375933,25.17809656248118
70,localvar,0.002823174704098328,25.176293914067465
34,gaussian,0.0028234642705984203,25.175848491104148
24,gaussian,0.0028254275922272054,25.17282963429251
82,gaussian,0.0028311177709169537,25.16409209616308
91,salt,0.0028355407994240522,25.15731430053711
63,salt,0.00283736246638,25.154523849487305
82,salt,0.002837425097823143,25.154428482055664
23,gaussian,0.002837533488224276,25.15426149736153
62,gaussian,0.002840482293471026,25.149750590695383
31,gaussian,0.0028422191245680815,25.147095880797934
29,gaussian,0.002843597372246007,25.14499041231059
81,gaussian,0.002844670693785571,25.143351468357665
85,gaussian,0.002845715888838699,25.141756067262854
30,gaussian,0.0028476354290229394,25.138827578592995
69,salt,0.0028500899206846952,25.135086059570312
93,salt,0.00285140797495842,25.13307762145996
78,salt,0.002851617056876421,25.13275909423828
23,localvar,0.002854428555199627,25.128479681349738
73,gaussian,0.0028546903505430035,25.128081384257058
84,salt,0.002855863654986024,25.126296997070312
65,salt,0.0028580529615283012,25.122968673706055
59,gaussian,0.002861988824425905,25.11699211876288
66,gaussian,0.0028632146936701606,25.115132313238874
75,gaussian,0.002863700612991943,25.11439532982177
75,localvar,0.002864071228864047,25.113833308732847
194,speckle,0.0028648477638361187,25.112655966704196
83,salt,0.0028651216998696327,25.112239837646484
62,salt,0.0028669703751802444,25.109439849853516
56,gaussian,0.002868006099757881,25.10787074791361
96,salt,0.0028688376769423485,25.106611251831055
67,salt,0.0028690267354249954,25.106325149536133
80,salt,0.0028724148869514465,25.101200103759766
81,localvar,0.0028742719640376837,25.098392867076505
61,salt,0.0028746966272592545,25.09775161743164
68,salt,0.0028757876716554165,25.09610366821289
73,salt,0.002875977661460638,25.095815658569336
196,speckle,0.002877146031739655,25.094052400609293
71,salt,0.0028791879303753376,25.090970993041992
83,gaussian,0.002880021659166749,25.089713915803898
66,salt,0.0028807087801396847,25.08867645263672
70,localvar,0.0028807881908245667,25.088558173886263
92,salt,0.0028817965649068356,25.0870361328125
77,gaussian,0.002883722778210809,25.084136375661043
63,gaussian,0.002883955039265716,25.083786599901185
58,salt,0.0028839639853686094,25.083772659301758
101,salt,0.002884084591642022,25.08359146118164
74,gaussian,0.002885732493807028,25.08111075751242
77,localvar,0.0028865867353128883,25.07982533873986
90,salt,0.002890402916818857,25.07408905029297
88,salt,0.002890936564654112,25.073284149169922
86,localvar,0.0028910760339818297,25.07307631890344
72,salt,0.002892530057579279,25.070894241333008
70,salt,0.0028952048160135746,25.066879272460938
76,localvar,0.0028955356526206236,25.06638228704312
68,gaussian,0.002897199976699582,25.06388672422192
86,salt,0.002897724276408553,25.06310272216797
64,salt,0.0028986006509512663,25.06178855895996
95,salt,0.002899179235100746,25.06092071533203
79,salt,0.0028998972848057747,25.059844970703125
94,salt,0.002901220228523016,25.057865142822266
74,salt,0.0029028556309640408,25.055418014526367
28,gaussian,0.002905493787649061,25.051471942644913
27,gaussian,0.002905913581387915,25.050844507350632
89,localvar,0.0029059304344165337,25.050819320241988
89,gaussian,0.0029072805301470685,25.04880205597985
60,salt,0.002907433081418276,25.04857635498047
26,gaussian,0.002908413516634601,25.04710991130417
193,speckle,0.002908713638429507,25.046661782060756
53,salt,0.002909132745116949,25.046035766601562
83,localvar,0.0029102136981311415,25.04442264887453
76,salt,0.002911125775426626,25.043060302734375
98,salt,0.0029122503474354744,25.041385650634766
195,speckle,0.002912299287588788,25.041311414828577
191,speckle,0.002913409880362264,25.039655567256716
25,gaussian,0.002913814055721246,25.039053115281874
47,salt,0.002914103679358959,25.03862190246582
73,localvar,0.0029147050040511436,25.037725388830673
70,gaussian,0.0029159867781873936,25.03581595007391
100,salt,0.0029163917060941458,25.03521156311035
24,gaussian,0.002918136460686717,25.032615485320854
85,salt,0.0029244432225823402,25.023239135742188
75,salt,0.002925758482888341,25.021286010742188
69,gaussian,0.0029260072075284055,25.020917538855034
52,salt,0.0029265598859637976,25.020095825195312
87,salt,0.0029272260144352913,25.01910972595215
97,salt,0.0029287878423929214,25.01679229736328
54,salt,0.0029323885682970285,25.011455535888672
80,gaussian,0.0029324735128136,25.011330473613622
57,salt,0.002932681003585458,25.011024475097656
88,localvar,0.0029328334512614233,25.010797443431677
120,salt,0.0029330605175346136,25.010461807250977
50,salt,0.002933541312813759,25.009748458862305
81,salt,0.0029337708838284016,25.009410858154297
82,localvar,0.00293390933612541,25.009204563423935
89,salt,0.002934108953922987,25.008909225463867
116,salt,0.0029346849769353867,25.008056640625
107,salt,0.0029358030296862125,25.00640106201172
198,speckle,0.002936410764466872,25.00550337993578
43,salt,0.002938017947599292,25.003128051757812
46,salt,0.0029381667263805866,25.002906799316406
180,speckle,0.0029383842532723545,25.002585574878854
99,salt,0.0029387418180704117,25.002058029174805
87,gaussian,0.002939007563544625,25.00166441725924
59,salt,0.0029393136501312256,25.001211166381836
79,gaussian,0.002940078618970942,25.000082016688246
109,salt,0.0029401318170130253,25.000003814697266
90,gaussian,0.0029402140187528548,24.99988201515169
55,salt,0.002940279431641102,24.999786376953125
124,salt,0.002940566511824727,24.999361038208008
56,salt,0.0029426882974803448,24.996227264404297
51,salt,0.0029435399919748306,24.994972229003906
19,speckle,0.0029448745731613987,24.993003432259506
103,salt,0.002945028943940997,24.992774963378906
77,salt,0.002946253400295973,24.990970611572266
48,salt,0.0029473709873855114,24.989322662353516
130,salt,0.0029473956674337387,24.989288330078125
115,salt,0.002948590088635683,24.98752784729004
22,localvar,0.0029490012039329,24.98692195605082
45,salt,0.002949249465018511,24.986555099487305
80,localvar,0.002949276999526673,24.98651581547737
84,gaussian,0.0029501663705985516,24.98520637345861
41,salt,0.002951045986264944,24.983911514282227
85,localvar,0.002951663593728062,24.983002867897778
49,salt,0.0029524071142077446,24.981908798217773
108,salt,0.0029527160804718733,24.981456756591797
113,salt,0.0029545105062425137,24.978816986083984
23,gaussian,0.0029551516466721547,24.97787373397152
104,salt,0.002955810632556677,24.976905822753906
94,gaussian,0.002955842548312739,24.976858490980195
111,salt,0.0029575014486908913,24.974422454833984
91,gaussian,0.0029579264844672728,24.973797695047864
67,gaussian,0.002958050768909938,24.97361521954016
132,salt,0.0029596334788948298,24.97129249572754
105,salt,0.0029598656110465527,24.970951080322266
139,salt,0.0029622092843055725,24.967514038085938
121,salt,0.0029677492566406727,24.959400177001953
90,localvar,0.0029693904057757335,24.956998444846242
18,speckle,0.002970321570572071,24.955636763546828
128,salt,0.0029703471809625626,24.955598831176758
66,localvar,0.0029712219222743303,24.95432054738338
19,speckle,0.0029716094062384366,24.953754210772516
21,localvar,0.0029751419751951943,24.948594501590424
18,speckle,0.0029781503018739036,24.94420533429701
129,salt,0.0029788832180202007,24.943138122558594
102,salt,0.0029803337529301643,24.941022872924805
78,gaussian,0.0029808973217705184,24.940201286191904
119,salt,0.0029833675362169743,24.936603546142578
117,salt,0.0029843265656381845,24.93520736694336
72,gaussian,0.0029849279485227556,24.93433293053567
134,salt,0.0029857889749109745,24.933080673217773
106,salt,0.0029859559144824743,24.932838439941406
22,gaussian,0.0029859888493979463,24.93278963855428
135,salt,0.002988116815686226,24.92969512939453
114,salt,0.0029885275289416313,24.929100036621094
72,localvar,0.002990775520665358,24.9258332814558
123,salt,0.002990886801853776,24.925670623779297
110,salt,0.0029919445514678955,24.924135208129883
