Kernel,Gamma,Degree,Coef0,MSE,PSNR
linear,1e-06,4,1,0.3121096339491508,4.740599711331084
linear,1e-06,4,10,0.3121096339491508,4.740599711331084
linear,1e-06,5,0,0.3121096339491508,4.740599711331084
linear,1e-06,5,1,0.3121096339491508,4.740599711331084
linear,1e-06,5,10,0.3121096339491508,4.740599711331084
linear,1e-06,6,0,0.3121096339491508,4.740599711331084
linear,1e-06,6,1,0.3121096339491508,4.740599711331084
linear,1e-06,6,10,0.3121096339491508,4.740599711331084
rbf,0.001,2,0,0.006684927381518717,21.43270451582913
rbf,0.001,2,1,0.006684927381518717,21.43270451582913
rbf,0.001,2,10,0.006684927381518717,21.43270451582913
rbf,0.001,3,0,0.006684927381518717,21.43270451582913
rbf,0.001,3,1,0.006684927381518717,21.43270451582913
rbf,0.001,3,10,0.006684927381518717,21.43270451582913
rbf,0.001,4,0,0.006684927381518717,21.43270451582913
rbf,0.001,4,1,0.006684927381518717,21.43270451582913
rbf,0.001,4,10,0.006684927381518717,21.43270451582913
rbf,0.001,5,0,0.006684927381518717,21.43270451582913
rbf,0.001,5,1,0.006684927381518717,21.43270451582913
rbf,0.001,5,10,0.006684927381518717,21.43270451582913
rbf,0.001,6,0,0.006684927381518717,21.43270451582913
rbf,0.001,6,1,0.006684927381518717,21.43270451582913
rbf,0.001,6,10,0.006684927381518717,21.43270451582913
rbf,0.0001,2,0,0.015255085996250084,17.84952485259972
rbf,0.0001,2,1,0.015255085996250084,17.84952485259972
rbf,0.0001,2,10,0.015255085996250084,17.84952485259972
rbf,0.0001,3,0,0.015255085996250084,17.84952485259972
rbf,0.0001,3,1,0.015255085996250084,17.84952485259972
rbf,0.0001,3,10,0.015255085996250084,17.84952485259972
rbf,0.0001,4,0,0.015255085996250084,17.84952485259972
rbf,0.0001,4,1,0.015255085996250084,17.84952485259972
rbf,0.0001,4,10,0.015255085996250084,17.84952485259972
rbf,0.0001,5,0,0.015255085996250084,17.84952485259972
rbf,0.0001,5,1,0.015255085996250084,17.84952485259972
rbf,0.0001,5,10,0.015255085996250084,17.84952485259972
rbf,0.0001,6,0,0.015255085996250084,17.84952485259972
rbf,0.0001,6,1,0.015255085996250084,17.84952485259972
rbf,0.0001,6,10,0.015255085996250084,17.84952485259972
rbf,1e-05,2,0,0.015638985962943615,17.74158555620161
rbf,1e-05,2,1,0.015638985962943615,17.74158555620161
rbf,1e-05,2,10,0.015638985962943615,17.74158555620161
rbf,1e-05,3,0,0.015638985962943615,17.74158555620161
rbf,1e-05,3,1,0.015638985962943615,17.74158555620161
rbf,1e-05,3,10,0.015638985962943615,17.74158555620161
rbf,1e-05,4,0,0.015638985962943615,17.74158555620161
rbf,1e-05,4,1,0.015638985962943615,17.74158555620161
rbf,1e-05,4,10,0.015638985962943615,17.74158555620161
rbf,1e-05,5,0,0.015638985962943615,17.74158555620161
rbf,1e-05,5,1,0.015638985962943615,17.74158555620161
rbf,1e-05,5,10,0.015638985962943615,17.74158555620161
rbf,1e-05,6,0,0.015638985962943615,17.74158555620161
rbf,1e-05,6,1,0.015638985962943615,17.74158555620161
rbf,1e-05,6,10,0.015638985962943615,17.74158555620161
rbf,1e-06,2,0,0.015643033430820456,17.74046172020351
rbf,1e-06,2,1,0.015643033430820456,17.74046172020351
rbf,1e-06,2,10,0.015643033430820456,17.74046172020351
rbf,1e-06,3,0,0.015643033430820456,17.74046172020351
rbf,1e-06,3,1,0.015643033430820456,17.74046172020351
rbf,1e-06,3,10,0.015643033430820456,17.74046172020351
rbf,1e-06,4,0,0.015643033430820456,17.74046172020351
rbf,1e-06,4,1,0.015643033430820456,17.74046172020351
rbf,1e-06,4,10,0.015643033430820456,17.74046172020351
rbf,1e-06,5,0,0.015643033430820456,17.74046172020351
rbf,1e-06,5,1,0.015643033430820456,17.74046172020351
rbf,1e-06,5,10,0.015643033430820456,17.74046172020351
rbf,1e-06,6,0,0.015643033430820456,17.74046172020351
rbf,1e-06,6,1,0.015643033430820456,17.74046172020351
rbf,1e-06,6,10,0.015643033430820456,17.74046172020351
poly,0.001,2,0,0.41883463271958354,3.463245598984282
poly,0.001,2,1,0.004059842504389404,23.598579593689188
poly,0.001,2,10,0.001929034081202162,26.830272448503607
poly,0.001,3,0,0.41919665100751496,3.4594934107872657
poly,0.001,3,1,0.002177043540729981,26.305000304686065
poly,0.001,3,10,0.001352088794820318,28.373619317857752
poly,0.001,4,0,0.4191975113151241,3.4594844978710215
poly,0.001,4,1,0.0018732951392334276,26.957609392293072
poly,0.001,4,10,0.002458308957233729,25.777306818833765
poly,0.001,5,0,0.4191975718515301,3.459483870705438
poly,0.001,5,1,0.0016026693434961867,27.635232158099644
poly,0.001,5,10,0.002477739132125202,25.743115655497594
poly,0.001,6,0,0.41919757251533707,3.4594838638283063
poly,0.001,6,1,0.0013817216418284387,28.279465854836893
poly,0.001,6,10,0.0024777401356861923,25.743113896470962
poly,0.0001,2,0,0.4191975862072299,3.4594837219784056
poly,0.0001,2,1,0.015156056572146904,17.877809277859097
poly,0.0001,2,10,0.006283339834005225,21.70176596319593
poly,0.0001,3,0,0.41919758657063033,3.4594837182135265
poly,0.0001,3,1,0.014391067368132272,18.102741392283068
poly,0.0001,3,10,0.0019362821202712017,26.813985102798217
poly,0.0001,4,0,0.41919758657063033,3.4594837182135265
poly,0.0001,4,1,0.013244820390005643,18.46321072153532
poly,0.0001,4,10,0.0015250232815496448,27.85090671630144
poly,0.0001,5,0,0.41919758657063033,3.4594837182135265
poly,0.0001,5,1,0.01184691524947401,18.947618638489836
poly,0.0001,5,10,0.002289973030722983,26.08536777824399
poly,0.0001,6,0,0.41919758657063033,3.4594837182135265
poly,0.0001,6,1,0.010400887775049094,19.512967350679933
poly,0.0001,6,10,0.002477674495859326,25.743228950474396
poly,1e-05,2,0,0.41919758657063,3.45948371821353
poly,1e-05,2,1,0.01563887858430711,17.74161537534047
poly,1e-05,2,10,0.015244743368436078,17.852470276527487
poly,1e-05,3,0,0.41919758657063033,3.4594837182135265
poly,1e-05,3,1,0.015633409611526504,17.74313438457295
poly,1e-05,3,10,0.004483431214491414,23.167566343264454
poly,1e-05,4,0,0.41919758657063033,3.4594837182135265
poly,1e-05,4,1,0.015625490473335116,17.74533487024723
poly,1e-05,4,10,0.0019414666591025366,26.802372086713863
poly,1e-05,5,0,0.41919758657063033,3.4594837182135265
poly,1e-05,5,1,0.015614966457785638,17.748260897906537
poly,1e-05,5,10,0.0017292244432603205,27.30515779631622
poly,1e-05,6,0,0.41919758657063033,3.4594837182135265
poly,1e-05,6,1,0.015601681472936495,17.751957384456453
poly,1e-05,6,10,0.001837681301729835,27.04096949017996
poly,1e-06,2,0,0.41919758657063033,3.4594837182135265
poly,1e-06,2,1,0.015643033325651458,17.740461749401373
poly,1e-06,2,10,0.01563665568861651,17.742232721362747
poly,1e-06,3,0,0.41919758657063033,3.4594837182135265
poly,1e-06,3,1,0.015642981757221307,17.74047606626761
poly,1e-06,3,10,0.01478931661009428,17.984190390286273
poly,1e-06,4,0,0.41919758657063033,3.4594837182135265
poly,1e-06,4,1,0.015642909301256763,17.74049618218857
poly,1e-06,4,10,0.003526199657336017,24.21060246563307
poly,1e-06,5,0,0.41919758657063033,3.4594837182135265
poly,1e-06,5,1,0.015642815807165374,17.7405221390541
